6
399
	117 :	 35.058665	 2.425904	 -1.000000
	118 :	 34.881192	 2.480456	 -1.000000
	119 :	 34.704922	 2.537190	 -1.000000
	120 :	 34.529933	 2.596187	 -1.000000
	121 :	 34.356232	 2.657375	 -1.000000
	122 :	 34.183895	 2.720769	 -1.000000
	123 :	 34.012906	 2.786338	 -1.000000
	124 :	 33.843342	 2.854098	 -1.000000
	125 :	 33.675198	 2.924051	 -1.000000
	126 :	 33.508555	 2.996144	 -1.000000
	127 :	 33.343402	 3.070415	 -1.000000
	128 :	 33.179703	 3.146815	 -1.000000
	129 :	 33.017636	 3.225403	 -1.000000
	130 :	 32.857239	 3.306067	 -1.000000
	131 :	 32.698323	 3.388841	 -1.000000
	132 :	 32.541193	 3.473785	 -1.000000
	133 :	 32.385662	 3.560779	 -1.000000
	134 :	 32.231745	 3.649941	 -1.000000
	135 :	 32.079696	 3.741144	 -1.000000
	136 :	 31.929236	 3.834383	 -1.000000
	137 :	 31.780646	 3.929796	 -1.000000
	138 :	 31.633742	 4.027233	 -1.000000
	139 :	 31.488650	 4.126797	 -1.000000
	140 :	 31.345395	 4.228416	 -1.000000
	141 :	 31.203920	 4.332105	 -1.000000
	142 :	 31.064289	 4.437931	 -1.000000
	143 :	 30.926517	 4.545859	 -1.000000
	144 :	 30.790550	 4.655848	 -1.000000
	145 :	 30.656441	 4.768033	 -1.000000
	146 :	 30.524178	 4.882345	 -1.000000
	147 :	 30.393826	 4.998882	 -1.000000
	148 :	 30.265244	 5.117636	 -1.000000
	149 :	 30.138594	 5.238698	 -1.000000
	150 :	 30.013767	 5.362004	 -1.000000
	151 :	 29.890645	 5.487811	 -1.000000
	152 :	 29.769427	 5.616076	 -1.000000
	153 :	 29.649952	 5.746947	 -1.000000
	154 :	 29.532123	 5.880611	 -1.000000
	155 :	 29.416118	 6.017128	 -1.000000
	156 :	 29.302396	 6.155686	 -1.000000
	157 :	 29.193504	 6.286997	 -1.000000
	158 :	 29.088939	 6.407424	 -1.000000
	159 :	 28.985264	 6.530504	 -1.000000
	160 :	 28.883747	 6.654957	 -1.000000
	161 :	 28.784506	 6.780842	 -1.000000
	162 :	 28.687489	 6.907893	 -1.000000
	163 :	 28.592727	 7.036224	 -1.000000
	164 :	 28.500225	 7.165887	 -1.000000
	165 :	 28.409879	 7.296749	 -1.000000
	166 :	 28.321853	 7.428877	 -1.000000
	167 :	 28.236202	 7.562152	 -1.000000
	168 :	 28.152664	 7.696631	 -1.000000
	169 :	 28.071535	 7.832321	 -1.000000
	170 :	 27.992602	 7.969263	 -1.000000
	171 :	 27.915969	 8.107365	 -1.000000
	172 :	 27.841625	 8.246628	 -1.000000
	173 :	 27.769657	 8.387104	 -1.000000
	174 :	 27.699794	 8.528984	 -1.000000
	175 :	 27.632670	 8.670832	 -1.000000
	176 :	 27.568017	 8.813180	 -1.000000
	177 :	 27.505622	 8.956693	 -1.000000
	178 :	 27.445773	 9.100816	 -1.000000
	179 :	 27.388325	 9.245670	 -1.000000
	180 :	 27.333295	 9.391518	 -1.000000
	181 :	 27.280772	 9.537840	 -1.000000
	182 :	 26.735123	 10.974701	 -1.000000
	183 :	 26.677282	 11.119004	 -1.000000
	184 :	 26.621642	 11.264589	 -1.000000
	185 :	 26.568459	 11.411061	 -1.000000
	186 :	 26.517543	 11.558610	 -1.000000
	187 :	 26.468962	 11.707337	 -1.000000
	188 :	 26.422845	 11.856671	 -1.000000
	189 :	 26.378448	 12.008297	 -1.000000
	190 :	 26.336507	 12.160831	 -1.000000
	191 :	 26.297083	 12.313667	 -1.000000
	192 :	 26.260243	 12.467170	 -1.000000
	193 :	 26.225871	 12.621355	 -1.000000
	194 :	 26.194016	 12.776147	 -1.000000
	195 :	 26.164622	 12.931480	 -1.000000
	196 :	 26.137820	 13.087536	 -1.000000
	197 :	 26.113409	 13.244072	 -1.000000
	198 :	 26.091540	 13.401304	 -1.000000
	199 :	 26.072303	 13.558127	 -1.000000
	200 :	 26.050984	 13.721494	 -1.000000
	201 :	 26.014323	 13.919780	 -1.000000
	202 :	 25.982209	 14.116208	 -1.000000
	203 :	 25.955268	 14.304068	 -1.000000
	204 :	 25.904204	 14.538726	 -1.000000
	205 :	 25.847816	 14.788347	 -1.000000
	206 :	 25.800829	 15.024907	 -1.000000
	207 :	 25.761881	 15.250645	 -1.000000
	208 :	 25.729628	 15.468328	 -1.000000
	209 :	 25.703079	 15.679664	 -1.000000
	210 :	 25.681833	 15.886002	 -1.000000
	211 :	 25.665250	 16.088226	 -1.000000
	212 :	 25.653083	 16.286979	 -1.000000
	213 :	 25.645065	 16.483004	 -1.000000
	214 :	 25.641005	 16.672652	 -1.000000
	215 :	 25.623703	 16.885193	 -1.000000
	216 :	 25.605686	 17.105599	 -1.000000
	217 :	 25.592899	 17.322014	 -1.000000
	218 :	 25.585164	 17.534074	 -1.000000
	219 :	 25.582056	 17.742409	 -1.000000
	220 :	 25.583353	 17.947516	 -1.000000
	221 :	 25.588756	 18.149793	 -1.000000
	222 :	 25.598089	 18.349651	 -1.000000
	223 :	 25.611160	 18.546252	 -1.000000
	224 :	 25.623667	 18.742775	 -1.000000
	225 :	 25.625965	 18.957544	 -1.000000
	226 :	 25.633162	 19.172207	 -1.000000
	227 :	 25.644757	 19.383444	 -1.000000
	228 :	 25.660774	 19.591679	 -1.000000
	229 :	 25.680669	 19.796159	 -1.000000
	230 :	 25.700715	 19.998599	 -1.000000
	231 :	 25.708372	 20.220582	 -1.000000
	232 :	 25.721245	 20.442563	 -1.000000
	233 :	 25.738746	 20.657964	 -1.000000
	234 :	 25.748887	 20.880945	 -1.000000
	235 :	 25.749171	 21.121274	 -1.000000
	236 :	 25.755952	 21.359013	 -1.000000
	237 :	 25.768618	 21.591178	 -1.000000
	238 :	 25.786765	 21.818473	 -1.000000
	239 :	 25.810077	 22.041431	 -1.000000
	240 :	 25.838206	 22.260453	 -1.000000
	241 :	 25.870935	 22.475932	 -1.000000
	242 :	 25.908023	 22.688104	 -1.000000
	243 :	 25.949290	 22.897247	 -1.000000
	244 :	 25.993516	 23.099059	 -1.000000
	245 :	 26.024697	 23.316988	 -1.000000
	246 :	 26.059714	 23.537673	 -1.000000
	247 :	 26.099567	 23.754963	 -1.000000
	248 :	 26.143907	 23.968613	 -1.000000
	249 :	 26.192460	 24.178915	 -1.000000
	250 :	 26.245176	 24.386152	 -1.000000
	251 :	 26.301775	 24.590384	 -1.000000
	252 :	 26.361693	 24.790359	 -1.000000
	253 :	 26.418905	 24.990527	 -1.000000
	254 :	 26.470242	 25.200426	 -1.000000
	255 :	 26.526595	 25.409718	 -1.000000
	256 :	 26.587015	 25.615708	 -1.000000
	257 :	 26.651377	 25.818386	 -1.000000
	258 :	 26.718870	 26.016792	 -1.000000
	259 :	 26.784552	 26.213942	 -1.000000
	260 :	 26.843508	 26.420625	 -1.000000
	261 :	 26.907510	 26.626794	 -1.000000
	262 :	 26.975597	 26.829437	 -1.000000
	263 :	 27.047491	 27.028566	 -1.000000
	264 :	 27.123074	 27.224490	 -1.000000
	265 :	 27.202097	 27.417238	 -1.000000
	266 :	 27.284512	 27.607045	 -1.000000
	267 :	 27.370082	 27.793901	 -1.000000
	268 :	 27.458708	 27.977867	 -1.000000
	269 :	 27.547124	 28.152987	 -1.000000
	270 :	 27.616545	 28.345309	 -1.000000
	271 :	 27.687120	 28.545671	 -1.000000
	272 :	 27.762434	 28.743429	 -1.000000
	273 :	 27.841674	 28.937076	 -1.000000
	274 :	 27.924560	 29.126770	 -1.000000
	275 :	 28.010882	 29.312771	 -1.000000
	276 :	 28.100443	 29.495183	 -1.000000
	277 :	 28.193096	 29.674153	 -1.000000
	278 :	 28.288599	 29.849814	 -1.000000
	279 :	 28.386861	 30.022272	 -1.000000
	280 :	 28.487590	 30.191558	 -1.000000
	281 :	 28.590796	 30.357841	 -1.000000
	282 :	 28.696220	 30.521069	 -1.000000
	283 :	 28.803809	 30.681480	 -1.000000
	284 :	 28.913403	 30.838954	 -1.000000
