4
400
	117 :	 32.675727	 12.910308	 -1.000000
	118 :	 32.486380	 12.924306	 -1.000000
	119 :	 32.299600	 12.935589	 -1.000000
	120 :	 32.115429	 12.944218	 -1.000000
	121 :	 31.933795	 12.950282	 -1.000000
	122 :	 31.754788	 12.954056	 -1.000000
	123 :	 31.578576	 12.955338	 -1.000000
	124 :	 31.405140	 12.954188	 -1.000000
	125 :	 31.234463	 12.950844	 -1.000000
	126 :	 31.066682	 12.945143	 -1.000000
	127 :	 30.901745	 12.937510	 -1.000000
	128 :	 30.740360	 12.927475	 -1.000000
	129 :	 30.582641	 12.913952	 -1.000000
	130 :	 30.427387	 12.898215	 -1.000000
	131 :	 30.274477	 12.881165	 -1.000000
	132 :	 30.123969	 12.862983	 -1.000000
	133 :	 29.979690	 12.845658	 -1.000000
	134 :	 29.844734	 12.816447	 -1.000000
	135 :	 29.713601	 12.783632	 -1.000000
	136 :	 29.596048	 12.743637	 -1.000000
	137 :	 29.484293	 12.680509	 -1.000000
	138 :	 29.361285	 12.618412	 -1.000000
	139 :	 29.237333	 12.565403	 -1.000000
	140 :	 29.116313	 12.519075	 -1.000000
	141 :	 28.999081	 12.475132	 -1.000000
	142 :	 28.884466	 12.432157	 -1.000000
	143 :	 28.771364	 12.390148	 -1.000000
	144 :	 28.657655	 12.350061	 -1.000000
	145 :	 28.542115	 12.315825	 -1.000000
	146 :	 28.427328	 12.288894	 -1.000000
	147 :	 28.315411	 12.266556	 -1.000000
	148 :	 28.206615	 12.247562	 -1.000000
	149 :	 28.101023	 12.229389	 -1.000000
	150 :	 27.994104	 12.212835	 -1.000000
	151 :	 27.884508	 12.203782	 -1.000000
	152 :	 27.775360	 12.201831	 -1.000000
	153 :	 27.668991	 12.207148	 -1.000000
	154 :	 27.568544	 12.213103	 -1.000000
	155 :	 27.471810	 12.219360	 -1.000000
	156 :	 27.373522	 12.225639	 -1.000000
	157 :	 27.271115	 12.242616	 -1.000000
	158 :	 27.170032	 12.265719	 -1.000000
	159 :	 27.071087	 12.298118	 -1.000000
	160 :	 26.980814	 12.326656	 -1.000000
	161 :	 26.893304	 12.354785	 -1.000000
	162 :	 26.807445	 12.383211	 -1.000000
	163 :	 26.718554	 12.417002	 -1.000000
	164 :	 26.627525	 12.463877	 -1.000000
	165 :	 26.543629	 12.511433	 -1.000000
	166 :	 26.466308	 12.554664	 -1.000000
	167 :	 26.390749	 12.597484	 -1.000000
	168 :	 26.312374	 12.647811	 -1.000000
	169 :	 26.225903	 12.716420	 -1.000000
	170 :	 26.112086	 12.853781	 -1.000000
	171 :	 25.996920	 13.005929	 -1.000000
	172 :	 25.890242	 13.146897	 -1.000000
	173 :	 25.791675	 13.277307	 -1.000000
	174 :	 25.701862	 13.395939	 -1.000000
	175 :	 25.620546	 13.503540	 -1.000000
	176 :	 25.532157	 13.630232	 -1.000000
	177 :	 25.457756	 13.736813	 -1.000000
	178 :	 25.397555	 13.823178	 -1.000000
	179 :	 25.350859	 13.891075	 -1.000000
	180 :	 25.322270	 13.932321	 -1.000000
	181 :	 25.303701	 13.961922	 -1.000000
	182 :	 25.218287	 14.115524	 -1.000000
	183 :	 25.133440	 14.266050	 -1.000000
	184 :	 25.047695	 14.416068	 -1.000000
	185 :	 24.961054	 14.565569	 -1.000000
	186 :	 24.873521	 14.714549	 -1.000000
	187 :	 24.785098	 14.863005	 -1.000000
	188 :	 24.695790	 15.010928	 -1.000000
	189 :	 24.605613	 15.158291	 -1.000000
	190 :	 24.514543	 15.305136	 -1.000000
	191 :	 24.422596	 15.451434	 -1.000000
	192 :	 24.329776	 15.597179	 -1.000000
	193 :	 24.236086	 15.742367	 -1.000000
	194 :	 24.141530	 15.886993	 -1.000000
	195 :	 24.046111	 16.031050	 -1.000000
	196 :	 23.949832	 16.174535	 -1.000000
	197 :	 23.852697	 16.317441	 -1.000000
	198 :	 23.754708	 16.459763	 -1.000000
	199 :	 23.655872	 16.601498	 -1.000000
	200 :	 23.556189	 16.742639	 -1.000000
	201 :	 23.455665	 16.883180	 -1.000000
	202 :	 23.354302	 17.023119	 -1.000000
	203 :	 23.252103	 17.162450	 -1.000000
	204 :	 23.149092	 17.301144	 -1.000000
	205 :	 23.045235	 17.439242	 -1.000000
	206 :	 22.940555	 17.576716	 -1.000000
	207 :	 22.835054	 17.713563	 -1.000000
	208 :	 22.728736	 17.849777	 -1.000000
	209 :	 22.621607	 17.985352	 -1.000000
	210 :	 22.513670	 18.120285	 -1.000000
	211 :	 22.404926	 18.254569	 -1.000000
	212 :	 22.295382	 18.388201	 -1.000000
	213 :	 22.185042	 18.521175	 -1.000000
	214 :	 22.073907	 18.653487	 -1.000000
	215 :	 21.961984	 18.785134	 -1.000000
	216 :	 21.849276	 18.916107	 -1.000000
	217 :	 21.735787	 19.046406	 -1.000000
	218 :	 21.621540	 19.176001	 -1.000000
	219 :	 21.506500	 19.304933	 -1.000000
	220 :	 21.388736	 19.435393	 -1.000000
	221 :	 21.366706	 19.462549	 -1.000000
	222 :	 21.336889	 19.502952	 -1.000000
	223 :	 21.287225	 19.569754	 -1.000000
	224 :	 21.232129	 19.647454	 -1.000000
	225 :	 21.180050	 19.728483	 -1.000000
	226 :	 21.156198	 19.780360	 -1.000000
	227 :	 21.070337	 19.901140	 -1.000000
	228 :	 20.970024	 20.043279	 -1.000000
	229 :	 20.860552	 20.198181	 -1.000000
	230 :	 20.753051	 20.354832	 -1.000000
	231 :	 20.661359	 20.504132	 -1.000000
	232 :	 20.635708	 20.590064	 -1.000000
	233 :	 20.602350	 20.679650	 -1.000000
	234 :	 20.563275	 20.781721	 -1.000000
	235 :	 20.521190	 20.892846	 -1.000000
	236 :	 20.486735	 21.005197	 -1.000000
	237 :	 20.468744	 21.110658	 -1.000000
	238 :	 20.467008	 21.195364	 -1.000000
	239 :	 20.456583	 21.285329	 -1.000000
	240 :	 20.443804	 21.386279	 -1.000000
	241 :	 20.430881	 21.492128	 -1.000000
	242 :	 20.418203	 21.601189	 -1.000000
	243 :	 20.403063	 21.722137	 -1.000000
	244 :	 20.403546	 21.840918	 -1.000000
	245 :	 20.419612	 21.945420	 -1.000000
	246 :	 20.439311	 22.046559	 -1.000000
	247 :	 20.465564	 22.143772	 -1.000000
	248 :	 20.492422	 22.240689	 -1.000000
	249 :	 20.521713	 22.343112	 -1.000000
	250 :	 20.558876	 22.445746	 -1.000000
	251 :	 20.602820	 22.546533	 -1.000000
	252 :	 20.653031	 22.642369	 -1.000000
	253 :	 20.704325	 22.736447	 -1.000000
	254 :	 20.757459	 22.833282	 -1.000000
	255 :	 20.814753	 22.931968	 -1.000000
	256 :	 20.877304	 23.031918	 -1.000000
	257 :	 20.947042	 23.130209	 -1.000000
	258 :	 21.021719	 23.224868	 -1.000000
	259 :	 21.098019	 23.318330	 -1.000000
	260 :	 21.175720	 23.412912	 -1.000000
	261 :	 21.255193	 23.509667	 -1.000000
	262 :	 21.338162	 23.609205	 -1.000000
	263 :	 21.428369	 23.709374	 -1.000000
	264 :	 21.526880	 23.805720	 -1.000000
	265 :	 21.622731	 23.891083	 -1.000000
	266 :	 21.698556	 23.989399	 -1.000000
	267 :	 21.772075	 24.103106	 -1.000000
	268 :	 21.845485	 24.223939	 -1.000000
	269 :	 21.917125	 24.349756	 -1.000000
	270 :	 21.987540	 24.480063	 -1.000000
	271 :	 22.056870	 24.614563	 -1.000000
	272 :	 22.124825	 24.753062	 -1.000000
	273 :	 22.191538	 24.895314	 -1.000000
	274 :	 22.256489	 25.041995	 -1.000000
	275 :	 22.320269	 25.192480	 -1.000000
	276 :	 22.382595	 25.346738	 -1.000000
	277 :	 22.443621	 25.504714	 -1.000000
	278 :	 22.503294	 25.666164	 -1.000000
	279 :	 22.561429	 25.831106	 -1.000000
	280 :	 22.616373	 25.995080	 -1.000000
	281 :	 22.654902	 26.176398	 -1.000000
	282 :	 22.694447	 26.365003	 -1.000000
	283 :	 22.733641	 26.555475	 -1.000000
	284 :	 22.771854	 26.748309	 -1.000000
	285 :	 22.809327	 26.943317	 -1.000000
	286 :	 22.845482	 27.140682	 -1.000000
	287 :	 22.880062	 27.340690	 -1.000000
	288 :	 22.913178	 27.542992	 -1.000000
	289 :	 22.943340	 27.748777	 -1.000000
	290 :	 22.971528	 27.957821	 -1.000000
	291 :	 22.997851	 28.169331	 -1.000000
	292 :	 23.022182	 28.382023	 -1.000000
	293 :	 23.038693	 28.601665	 -1.000000
	294 :	 23.052350	 28.825963	 -1.000000
	295 :	 23.064296	 29.052501	 -1.000000
	296 :	 23.074416	 29.280853	 -1.000000
	297 :	 23.082504	 29.511311	 -1.000000
	298 :	 23.088558	 29.742554	 -1.000000
	299 :	 23.086996	 29.979380	 -1.000000
	300 :	 23.081004	 30.221032	 -1.000000
	301 :	 23.073121	 30.464480	 -1.000000
	302 :	 23.063178	 30.709405	 -1.000000
	303 :	 23.051027	 30.955703	 -1.000000
	304 :	 23.036873	 31.202191	 -1.000000
	305 :	 23.014135	 31.454598	 -1.000000
	306 :	 22.989231	 31.709182	 -1.000000
	307 :	 22.962124	 31.964350	 -1.000000
	308 :	 22.930791	 32.221895	 -1.000000
	309 :	 22.897279	 32.480426	 -1.000000
	310 :	 22.861490	 32.738114	 -1.000000
	311 :	 22.812453	 33.003999	 -1.000000
	312 :	 22.759818	 33.272737	 -1.000000
	313 :	 22.705273	 33.541684	 -1.000000
	314 :	 22.648813	 33.810497	 -1.000000
	315 :	 22.590235	 34.079317	 -1.000000
	316 :	 22.529791	 34.347238	 -1.000000
	317 :	 22.462096	 34.618401	 -1.000000
	318 :	 22.392277	 34.889769	 -1.000000
	319 :	 22.320559	 35.160634	 -1.000000
	320 :	 22.246704	 35.430912	 -1.000000
	321 :	 22.170840	 35.700556	 -1.000000
	322 :	 22.092069	 35.969823	 -1.000000
	323 :	 22.009874	 36.239386	 -1.000000
	324 :	 21.925786	 36.507952	 -1.000000
	325 :	 21.839611	 36.775750	 -1.000000
	326 :	 21.751759	 37.042256	 -1.000000
	327 :	 21.661701	 37.307781	 -1.000000
	328 :	 21.572055	 37.566152	 -1.000000
	329 :	 21.425099	 37.855210	 -1.000000
	330 :	 21.275336	 38.146771	 -1.000000
	331 :	 21.120801	 38.437676	 -1.000000
	332 :	 20.966447	 38.725553	 -1.000000
	333 :	 20.812545	 39.009666	 -1.000000
	334 :	 20.658861	 39.290429	 -1.000000
	335 :	 20.505366	 39.567683	 -1.000000
	336 :	 20.351823	 39.841619	 -1.000000
	337 :	 20.198392	 40.112096	 -1.000000
	338 :	 20.044882	 40.379261	 -1.000000
	339 :	 19.891459	 40.642957	 -1.000000
	340 :	 19.740164	 40.899607	 -1.000000
	341 :	 19.538405	 41.177188	 -1.000000
	342 :	 19.336498	 41.453258	 -1.000000
